event_id,cap,stato_estero
SEND_ANALOG_DOMICILE.IUN_UZGY-NKUR-HPMY-202307-D-1.RECINDEX_0.ATTEMPT_0,70032,NA
SEND_ANALOG_DOMICILE.IUN_RYWE-GZAG-XETD-202307-R-1.RECINDEX_0.ATTEMPT_0,47814,NA
SEND_ANALOG_DOMICILE.IUN_VQWJ-DRTL-TAVA-202307-U-1.RECINDEX_0.ATTEMPT_0,12100,NA
SEND_ANALOG_DOMICILE.IUN_VQWJ-DRTL-TAVA-202307-U-1.RECINDEX_0.ATTEMPT_1,48125,NA
SEND_ANALOG_DOMICILE.IUN_GVYG-WLPX-VKDU-202307-Q-1.RECINDEX_0.ATTEMPT_0,20151,NA
SEND_ANALOG_DOMICILE.IUN_LTNW-GPKL-WQDW-202307-D-1.RECINDEX_0.ATTEMPT_0,36100,NA
SEND_ANALOG_DOMICILE.IUN_UQGL-QYTP-RDPE-202307-Y-1.RECINDEX_0.ATTEMPT_0,31015,NA
SEND_ANALOG_DOMICILE.IUN_JYXL-PQVJ-DGKG-202307-L-1.RECINDEX_0.ATTEMPT_0,80078,NA
SEND_ANALOG_DOMICILE.IUN_YPKW-KJGT-LDAM-202307-Z-1.RECINDEX_0.ATTEMPT_0,73048,NA
SEND_ANALOG_DOMICILE.IUN_KRVE-YZRL-RTMJ-202307-V-1.RECINDEX_0.ATTEMPT_0,47842,NA
SEND_ANALOG_DOMICILE.IUN_PXJW-PZTG-MPUX-202307-M-1.RECINDEX_0.ATTEMPT_0,88056,NA
SEND_ANALOG_DOMICILE.IUN_LVWX-LQRU-HQZT-202307-R-1.RECINDEX_0.ATTEMPT_0,26020,NA
SEND_ANALOG_DOMICILE.IUN_ELEW-NYDQ-DKPR-202307-D-1.RECINDEX_0.ATTEMPT_0,153,NA
SEND_ANALOG_DOMICILE.IUN_ELEW-NYDQ-DKPR-202307-D-1.RECINDEX_0.ATTEMPT_1,142,NA
SEND_ANALOG_DOMICILE.IUN_LMJW-MAJR-AHML-202307-K-1.RECINDEX_0.ATTEMPT_0,52100,NA
SEND_ANALOG_DOMICILE.IUN_LMJW-MAJR-AHML-202307-K-1.RECINDEX_0.ATTEMPT_1,52100,NA
SEND_ANALOG_DOMICILE.IUN_KMXE-LRWK-XKAR-202307-V-1.RECINDEX_0.ATTEMPT_0,31020,NA
SEND_ANALOG_DOMICILE.IUN_QXJN-UNGV-TRQA-202307-J-1.RECINDEX_0.ATTEMPT_0,27058,NA
SEND_ANALOG_DOMICILE.IUN_AWNZ-DKWV-TPRT-202307-W-1.RECINDEX_0.ATTEMPT_0,22020,NA
SEND_ANALOG_DOMICILE.IUN_AWNZ-DKWV-TPRT-202307-W-1.RECINDEX_0.ATTEMPT_1,20861,NA
