geo_key,product_type,recapitista,cons_costo_base,const_costo_foglio_agg,peso_max_20g,peso_max_50g,peso_max_100g,peso_max_250g,peso_max_350g,peso_max_1000g,peso_max_2000g
00147,AR,Poste,0,3,352,399,436,478,510,584,672
00147,RS,Poste,0,3,214,261,298,340,372,446,533
00148,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00148,AR,Poste,0,3,352,399,436,478,510,584,672
00148,RS,Poste,0,3,214,261,298,340,372,446,533
00149,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00149,AR,Poste,0,3,352,399,436,478,510,584,672
00149,RS,Poste,0,3,214,261,298,340,372,446,533
00151,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00151,AR,Poste,0,3,352,399,436,478,510,584,672
00151,RS,Poste,0,3,214,261,298,340,372,446,533
00152,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00152,AR,Poste,0,3,352,399,436,478,510,584,672
00152,RS,Poste,0,3,214,261,298,340,372,446,533
00153,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00153,AR,Poste,0,3,352,399,436,478,510,584,672
00153,RS,Poste,0,3,214,261,298,340,372,446,533
00154,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00154,AR,Poste,0,3,352,399,436,478,510,584,672
00154,RS,Poste,0,3,214,261,298,340,372,446,533
00155,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00155,AR,Poste,0,3,352,399,436,478,510,584,672
00155,RS,Poste,0,3,214,261,298,340,372,446,533
00156,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00156,AR,Poste,0,3,352,399,436,478,510,584,672
00156,RS,Poste,0,3,214,261,298,340,372,446,533
00157,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00157,AR,Poste,0,3,352,399,436,478,510,584,672
00157,RS,Poste,0,3,214,261,298,340,372,446,533
00158,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00158,AR,Poste,0,3,352,399,436,478,510,584,672
00158,RS,Poste,0,3,214,261,298,340,372,446,533
00159,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00159,AR,Poste,0,3,352,399,436,478,510,584,672
00159,RS,Poste,0,3,214,261,298,340,372,446,533
00161,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00161,AR,Poste,0,3,352,399,436,478,510,584,672
00161,RS,Poste,0,3,214,261,298,340,372,446,533
00162,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00162,AR,Poste,0,3,352,399,436,478,510,584,672
00162,RS,Poste,0,3,214,261,298,340,372,446,533
00163,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00163,AR,Poste,0,3,352,399,436,478,510,584,672
00163,RS,Poste,0,3,214,261,298,340,372,446,533
00164,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00164,AR,Poste,0,3,352,399,436,478,510,584,672
00164,RS,Poste,0,3,214,261,298,340,372,446,533
00165,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00165,AR,Poste,0,3,352,399,436,478,510,584,672
00165,RS,Poste,0,3,214,261,298,340,372,446,533
00166,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00166,AR,Poste,0,3,352,399,436,478,510,584,672
00166,RS,Poste,0,3,214,261,298,340,372,446,533
00167,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00167,AR,Poste,0,3,352,399,436,478,510,584,672
00167,RS,Poste,0,3,214,261,298,340,372,446,533
00168,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00168,AR,Poste,0,3,352,399,436,478,510,584,672
00168,RS,Poste,0,3,214,261,298,340,372,446,533
00169,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00169,AR,Poste,0,3,352,399,436,478,510,584,672
00169,RS,Poste,0,3,214,261,298,340,372,446,533
00171,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00171,AR,Poste,0,3,352,399,436,478,510,584,672
00171,RS,Poste,0,3,214,261,298,340,372,446,533
00172,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00172,AR,Poste,0,3,352,399,436,478,510,584,672
00172,RS,Poste,0,3,214,261,298,340,372,446,533
00173,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00173,AR,Poste,0,3,352,399,436,478,510,584,672
00173,RS,Poste,0,3,214,261,298,340,372,446,533
00174,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00174,AR,Poste,0,3,352,399,436,478,510,584,672
00174,RS,Poste,0,3,214,261,298,340,372,446,533
00175,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00175,AR,Poste,0,3,352,399,436,478,510,584,672
00175,RS,Poste,0,3,214,261,298,340,372,446,533
00176,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00176,AR,Poste,0,3,352,399,436,478,510,584,672
00176,RS,Poste,0,3,214,261,298,340,372,446,533
00177,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00177,AR,Poste,0,3,352,399,436,478,510,584,672
00177,RS,Poste,0,3,214,261,298,340,372,446,533
00178,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00178,AR,Poste,0,3,352,399,436,478,510,584,672
00178,RS,Poste,0,3,214,261,298,340,372,446,533
00179,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00179,AR,Poste,0,3,352,399,436,478,510,584,672
00179,RS,Poste,0,3,214,261,298,340,372,446,533
00181,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00181,AR,Poste,0,3,352,399,436,478,510,584,672
00181,RS,Poste,0,3,214,261,298,340,372,446,533
00182,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00182,AR,Poste,0,3,352,399,436,478,510,584,672
00182,RS,Poste,0,3,214,261,298,340,372,446,533
00183,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00183,AR,Poste,0,3,352,399,436,478,510,584,672
00183,RS,Poste,0,3,214,261,298,340,372,446,533
00184,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00184,AR,Poste,0,3,352,399,436,478,510,584,672
00184,RS,Poste,0,3,214,261,298,340,372,446,533
00185,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00185,AR,Poste,0,3,352,399,436,478,510,584,672
00185,RS,Poste,0,3,214,261,298,340,372,446,533
00186,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00186,AR,Poste,0,3,352,399,436,478,510,584,672
00186,RS,Poste,0,3,214,261,298,340,372,446,533
00187,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00187,AR,Poste,0,3,352,399,436,478,510,584,672
00187,RS,Poste,0,3,214,261,298,340,372,446,533
00188,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00188,AR,Poste,0,3,352,399,436,478,510,584,672
00188,RS,Poste,0,3,214,261,298,340,372,446,533
00189,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00189,AR,Poste,0,3,352,399,436,478,510,584,672
